Korean,English
서클,circle
시청자,viewers
실체,substance
완벽하다,perfect
완전하다,complete
종업원,employee
증가,increase
출연,Appearance
학기,term
한동안,for a while
후기,Reviews
계절,season
만지다,touch
목사,minister
바늘,needle
버티다,withstand
분포하다,distribute
비중,specific gravity
수입,import
아이디어,idea
양쪽,both sides
예컨대,for example
운동장,playground
전개,deployment
접촉,contact
짐,load
해마다,year after year
후배,junior
휴가,vacation
경기,game
계곡,valley
국회의원,member of parliament
도저히,No way
뻗다,stretch
생활하다,live
솔직하다,honest
안타깝다,It's a pity
젓다,row
정치권,politics
처녀,virgin
축제,festivities
터뜨리다,explode
학습,learning
개발되다,developed
당연히,of course
대비하다,prepare
동쪽,east
떨리다,throb
마구,harness
만남,meeting
미디어,media
복도,corridor
수상,premier
쓰러지다,fall down
영혼,soul
운전사,driver
자랑스럽다,I'm proud
적당하다,suitable
적용되다,apply
지속적,continuous
곳곳,everywhere
구분,division
금지,prohibition
내지,inside
달려오다,run
둘러보다,look around
분노,anger
비교,comparison
소위,ensign
스치다,lick
역사적,classic
요즈음,these days
유난히,Especially
의무,duty
잠깐,for a moment
잠들다,fall asleep
정식,formula
즉시,immediately
최선,best
탑,tower
한복,Hanbok
건축,building
귀엽다,cute
답답하다,frustrated
당황하다,embarrassed
동일하다,same
떨어뜨리다,drop
똑같이,equally
라면,ramen
말,word
밀가루,flour
바깥,outside
바지,pants
벌리다,be profitable
보고서,report
보관하다,keep
부딪치다,bump into
빨래,wash
상하다,hurt
설치,installation
식용유,cooking oil
싫어하다,dislike
업종,Industry
연출,production
테이블,table
트이다,open
한국어,korean
한자,chinese character
겁,cowardice
관리,management
국제화,internationalization
근육,muscles
깔리다,be crushed
산소,oxygen
석유,petroleum
소리치다,shout
신선하다,fresh
안경,glasses
약속하다,promise
연합,federation
인격,personality
장,page
적,enemy
조심하다,be careful
질,quality
찌르다,prod
책임자,responsible person
취미,hobby
표,graph
확대되다,enlarge
논,rice paddy
덥다,It's hot
둘째,second
바보,fool
별,star
보람,worth
부작용,side effect
비난,blame
신고,declaration
야구,baseball
어떡하다,What should I do?
예상,expectation
위협,threat
이상,more
잠기다,sink
주고받다,give and receive
주먹,fist
지지,support
털다,whisk
경고,warning
과목,subjects
구경,caliber
그분,Him
근무,working
논쟁,controversy
달아나다,run away
묶다,sheave
성명,name
소스,sauce
수십,dozens
신다,put on
우리말,Korean
유교,Confucianism
일상,daily
자동,automatic
장래,future
전개되다,unfold
중요성,importance
크다,big
탤런트,talent
특별히,particularly
품질,quality
회견,interview
훔치다,steal
흔적,evidence
고전,Classical
과학적,scientific
그럼,then
뇌,brain
봉투,envelope
분명,clearly
사설,editorial
승리,victory
좌우,right and left
주,main
추억,memory
함부로,Carelessly
현지,local
가늘다,thin
개인적,personal
겉,outside
굽히다,bend
근무하다,work
깜짝,surprise
넓히다,widen
떠들다,lift
매년,annually
발생,generation
셋,three
소주,soju
손바닥,palm of the hand
어색하다,It's awkward
얹다,put on
의학,medicine
장점,merit
적당히,right
진출,debouchment
창조,creation
킬로그램,kilogram
평범하다,ordinary
프로,pro
홍보,promotion
확인,check
가루,powder
건지다,rescue
깨지다,chip
내다보다,look out
대량,block
동행,accompany
들,field
떼,group
마땅하다,deserved
바로잡다,correct
박히다,enter
방금,just now
생선,fish
슬픔,sorrow
아무렇다,It's okay
이용되다,be used
임시,temporary
제거하다,remove
줄다,shrink
지구,earth
참기름,sesame oil
특수,special
합치다,engraft
호기심,curiosity
골목,alley
기운,strength
기획,planning
대충,roughly
돌아서다,turn around
동화,fairytale
두껍다,thick
맞서다,stand opposite each other
모자라다,fall short of
박다,drive
본성,original nature
상상하다,imagine
생산력,productivity
안전하다,safe
이르다,say
장비,equipment
정치인,politician
정치적,political
졸업,graduate
처벌,punishment
카페,cafe
콤플렉스,complex
검토,examine
그다음,Then
기법,techniques
끓다,boil
날아오다,fly in
농담,joke
닭,chicken
담임,homeroom teacher
도중,on the way
두드러지다,stand out
맥주,beer
모래,sand
살아남다,survive
